年	件数	URL
2019	1689	Apple ID
2019	1253	Amazon
2019	333	Microsoft
2019	268	CIBC
2019	224	NTT docomo
2019	219	PayPal
2019	192	三井住友銀行
2019	122	au
2019	113	三菱UFJニコス
2019	112	LINE
2020	3707	Amazon
2020	3081	楽天
2020	980	三井住友カード
2020	680	Microsoft
2020	437	Apple ID
2020	250	JCB
2020	197	au
2020	181	LINE
2020	143	三井住友銀行
2020	111	TS CUBIC CARD_MY TS3
2021	6038	Amazon
2021	3759	三井住友カード
2021	3056	au
2021	1912	楽天
2021	1481	メルカリ
2021	1016	ETC利用照会サービス
2021	901	Apple ID
2021	842	NTT docomo
2021	790	MICARD
2021	744	Vpass
2022	8247	au
2022	5987	三菱UFJニコス
2022	5965	三井住友カード
2022	5452	Amazon
2022	4553	メルカリ
2022	4020	えきねっと
2022	3456	イオンカード
2022	2493	SAISON CARD
2022	2069	国税庁
2022	1461	ETC利用照会サービス
2023	8753	Amazon
2023	6560	SAISON CARD
2023	5071	えきねっと
2023	4441	Apple ID
2023	4033	エポスカード
2023	3932	ETC利用照会サービス
2023	3791	イオン銀行
2023	3378	三井住友カード
2023	2428	softbank
2023	2349	ヤマト運輸
2024	8508	Apple ID
2024	7565	イオンカード
2024	5290	えきねっと
2024	4647	メルカリ
2024	2837	Amazon
2024	2800	TEPCO
2024	2184	JCB
2024	2149	三井住友カード
2024	2104	クレディセゾン
2024	2037	三菱UFJ銀行
2025	1924	SBI証券
2025	1887	JCB
2025	1772	JAバンク
2025	1033	三井住友カード
2025	934	UC Card
2025	919	クレディセゾン
2025	887	えきねっと
2025	861	メルカリ
2025	856	JPMorgan Chase & Co.
2025	725	大和証券
